condition	position_bp	signal
NT	-9950	1.60944735910423
NT	-9850	1.87664764046894
NT	-9750	1.93873428830777
NT	-9650	1.72102477127735
NT	-9550	1.5466563385596
NT	-9450	1.53043583641123
NT	-9350	1.60188641299832
NT	-9250	1.82983429027118
NT	-9150	1.89764005508921
NT	-9050	1.78890433488888
NT	-8950	1.63682979899269
NT	-8850	1.51886973943602
NT	-8750	1.48996155009532
NT	-8650	1.59710944495348
NT	-8550	1.63910419722278
NT	-8450	1.68175758034317
NT	-8350	1.67545848450616
NT	-8250	1.61137229766952
NT	-8150	1.78635959195288
NT	-8050	1.80440754303844
NT	-7950	1.77024597911391
NT	-7850	1.7713891376092
NT	-7750	1.66901297322369
NT	-7650	1.60770440079105
NT	-7550	1.66758181293572
NT	-7450	1.73686694050024
NT	-7350	1.80294769487522
NT	-7250	1.71968872922061
NT	-7150	1.61430348240048
NT	-7050	1.54948456850582
NT	-6950	1.63318192578892
NT	-6850	1.73261837748627
NT	-6750	1.71932190023618
NT	-6650	1.68243387186637
NT	-6550	1.77950165603392
NT	-6450	1.86485032814501
NT	-6350	1.81966237347409
NT	-6250	1.7882537189483
NT	-6150	1.73386366496884
NT	-6050	1.67787825990951
NT	-5950	1.65584039123012
NT	-5850	1.65179011831659
NT	-5750	1.62883878152121
NT	-5650	1.6497106066642
NT	-5550	1.7136688395413
NT	-5450	1.61623040389267
NT	-5350	1.51035350564835
NT	-5250	1.5338057291637
NT	-5150	1.63459553344905
NT	-5050	1.56552347175824
NT	-4950	1.56264280676095
NT	-4850	1.62947151569303
NT	-4750	1.73504130125487
NT	-4650	1.76299185513474
NT	-4550	1.69581044839655
NT	-4450	1.56931372640355
NT	-4350	1.43636351634749
NT	-4250	1.42628387533791
NT	-4150	1.60532989132971
NT	-4050	1.83162080997638
NT	-3950	1.83578209549555
NT	-3850	1.78479079745611
NT	-3750	1.83981931497026
NT	-3650	1.8567487368466
NT	-3550	1.72013232484421
NT	-3450	1.61972616290584
NT	-3350	1.58075010889793
NT	-3250	1.61403935110833
NT	-3150	1.61214683885838
NT	-3050	1.50987657083914
NT	-2950	1.56964454079048
NT	-2850	1.6596245133597
NT	-2750	1.60705692137837
NT	-2650	1.59957559807074
NT	-2550	1.64233399846342
NT	-2450	1.63968600887801
NT	-2350	1.63655425080386
NT	-2250	1.70013233505961
NT	-2150	1.72488400233332
NT	-2050	1.59600475559855
NT	-1950	1.52100202435762
NT	-1850	1.59518160820078
NT	-1750	1.74207747989642
NT	-1650	1.81898990208576
NT	-1550	1.72533818680818
NT	-1450	1.59626096528469
NT	-1350	1.51806894963435
NT	-1250	1.51055370645648
NT	-1150	1.57346829826708
NT	-1050	1.7143754197422
NT	-950	1.86382637649034
NT	-850	1.87916158574965
NT	-750	1.84237726281194
NT	-650	1.88013512722306
NT	-550	1.95278155274166
NT	-450	2.07972584554534
NT	-350	2.35458460105853
NT	-250	2.59031993870757
NT	-150	2.83216170864753
NT	-50	3.16860834331161
NT	50	3.22949109361751
NT	150	3.10526681882594
NT	250	2.83962590086219
NT	350	2.46789240762029
NT	450	2.31240303716245
NT	550	2.33034626813306
NT	650	2.26867670198902
NT	750	2.23793577230174
NT	850	2.16895897089036
NT	950	2.00047362305438
NT	1050	1.92593967589563
NT	1150	1.81699604806078
NT	1250	1.75039685126483
NT	1350	1.77880495381726
NT	1450	1.77985909233702
NT	1550	1.841058676294
NT	1650	1.95785651179467
NT	1750	1.87848909506872
NT	1850	1.67578592160601
NT	1950	1.57358987576473
NT	2050	1.73555763514782
NT	2150	1.81157371553368
NT	2250	1.74650012175967
NT	2350	1.70696988737444
NT	2450	1.73363977639928
NT	2550	1.83279159198133
NT	2650	1.90918114119455
NT	2750	1.84711572537917
NT	2850	1.80500493415474
NT	2950	1.7473404802948
NT	3050	1.84395678049683
NT	3150	1.86321349733944
NT	3250	1.74582751899383
NT	3350	1.68974182807387
NT	3450	1.61088910633697
NT	3550	1.60565266627778
NT	3650	1.59868598730899
NT	3750	1.65141713291409
NT	3850	1.61877992095154
NT	3950	1.53556246222576
NT	4050	1.53886719309678
NT	4150	1.61335826614119
NT	4250	1.72519377275702
NT	4350	1.81978647167288
NT	4450	1.79426333864496
NT	4550	1.65953523580798
NT	4650	1.65835442662835
NT	4750	1.69514591261418
NT	4850	1.68170658429844
NT	4950	1.62103745986398
NT	5050	1.52851150818086
NT	5150	1.57920397180093
NT	5250	1.63159101684546
NT	5350	1.63725135170589
NT	5450	1.70620794243519
NT	5550	1.75335293344336
NT	5650	1.7311937228182
NT	5750	1.7474455805139
NT	5850	1.68464172259056
NT	5950	1.74183222832428
NT	6050	1.82679736149447
NT	6150	1.81665035600262
NT	6250	1.68295768101756
NT	6350	1.56739859878212
NT	6450	1.62619974851322
NT	6550	1.70928344330308
NT	6650	1.75843929519392
NT	6750	1.86178717494238
NT	6850	1.8026702452551
NT	6950	1.66266430125487
NT	7050	1.63123866906639
NT	7150	1.59668623159662
NT	7250	1.64169404293885
NT	7350	1.63425794365877
NT	7450	1.71437599334149
NT	7550	1.74180326281194
NT	7650	1.67209930825484
NT	7750	1.56205045878269
NT	7850	1.60338198813419
NT	7950	1.77446911191418
NT	8050	1.69501564715591
NT	8150	1.60723072025723
NT	8250	1.5792681665481
NT	8350	1.53895336590502
NT	8450	1.5756697280255
NT	8550	1.62228889076061
NT	8650	1.5814993251003
NT	8750	1.67749622149503
NT	8850	1.79689819235694
NT	8950	1.83417859158296
NT	9050	1.78882322707225
NT	9150	1.68289077691148
NT	9250	1.8573362193609
NT	9350	2.01516468295251
NT	9450	2.0003162870842
NT	9550	1.80401608951996
NT	9650	1.59580810275161
NT	9750	1.49675747329482
NT	9850	1.47291937051475
NT	9950	1.53592122320234
RHPS4	-9950	1.74577556486356
RHPS4	-9850	1.90050506968671
RHPS4	-9750	2.00147578026919
RHPS4	-9650	1.94113075929773
RHPS4	-9550	1.85875600173577
RHPS4	-9450	1.87588607452409
RHPS4	-9350	1.95322736838062
RHPS4	-9250	1.92655181717554
RHPS4	-9150	1.84722994456933
RHPS4	-9050	1.89649490797598
RHPS4	-8950	1.88433949201833
RHPS4	-8850	1.9019394976809
RHPS4	-8750	1.8890692339584
RHPS4	-8650	1.87266660757477
RHPS4	-8550	1.83557852144097
RHPS4	-8450	1.68193973280596
RHPS4	-8350	1.76823797985374
RHPS4	-8250	1.818859638847
RHPS4	-8150	1.79025058583502
RHPS4	-8050	1.85295763341206
RHPS4	-7950	1.87553632749054
RHPS4	-7850	1.81691663628603
RHPS4	-7750	1.73818708465413
RHPS4	-7650	1.75719193927667
RHPS4	-7550	1.77803855769286
RHPS4	-7450	1.82665924186894
RHPS4	-7350	1.79104285951683
RHPS4	-7250	1.81577577022451
RHPS4	-7150	1.95438426818997
RHPS4	-7050	1.96378629852318
RHPS4	-6950	1.79141283643969
RHPS4	-6850	1.66715990481746
RHPS4	-6750	1.72455803326409
RHPS4	-6650	1.71749905870301
RHPS4	-6550	1.70941865293231
RHPS4	-6450	1.59727903619497
RHPS4	-6350	1.57981346743306
RHPS4	-6250	1.58927567114361
RHPS4	-6150	1.55599409441425
RHPS4	-6050	1.56420249164841
