sample	condition	replicate	signal
NTrep1BG4	NT	1	2.60716093559457
NTrep2	NT	2	2.24342091413653
NTrep3	NT	3	3.24344251541417
RHPS4rep1	RHPS4	1	3.19256438325698
RHPS4rep2	RHPS4	2	3.41345579263296
RHPS4rep3	RHPS4	3	2.92573952745924
Inh5rep1	Inh5	1	2.38068256606721
Inh5rep2	Inh5	2	2.29482193888968
Inh5rep3	Inh5	3	2.53876384318072
InhRHPS4rep1	Combo	1	3.61639756501437
InhRHPS4rep2	Combo	2	4.42133241279344
InhRHPS4rep3	Combo	3	2.69293715638107
